Date,RiskFreeRate
01-Jan-2009,0.000316518298714144
02-Jan-2009,0.000316518298714144
03-Jan-2009,0.000316518298714144
04-Jan-2009,0.000316518298714144
05-Jan-2009,0.000553907022749753
06-Jan-2009,0.000553907022749753
07-Jan-2009,0.000435212660731949
08-Jan-2009,0.000356083086053412
09-Jan-2009,0.000276953511374876
10-Jan-2009,0.000276953511374876
11-Jan-2009,0.000276953511374876
12-Jan-2009,0.000474777448071217
13-Jan-2009,0.000435212660731949
14-Jan-2009,0.000474777448071217
15-Jan-2009,0.000435212660731949
16-Jan-2009,0.000474777448071217
17-Jan-2009,0.000474777448071217
18-Jan-2009,0.000474777448071217
19-Jan-2009,0.000474777448071217
20-Jan-2009,0.000514342235410485
21-Jan-2009,0.000435212660731949
22-Jan-2009,0.000395647873392681
23-Jan-2009,0.000435212660731949
24-Jan-2009,0.000435212660731949
25-Jan-2009,0.000435212660731949
26-Jan-2009,0.000593471810089021
27-Jan-2009,0.000514342235410485
28-Jan-2009,0.000751730959446093
29-Jan-2009,0.000909990108803165
30-Jan-2009,0.000949554896142433
31-Jan-2009,0.000949554896142433
01-Feb-2009,0.000949554896142433
02-Feb-2009,0.00106824925816024
03-Feb-2009,0.00126607319485658
04-Feb-2009,0.00118694362017804
05-Feb-2009,0.00114737883283877
06-Feb-2009,0.00110781404549951
07-Feb-2009,0.00110781404549951
08-Feb-2009,0.00110781404549951
09-Feb-2009,0.00126607319485658
10-Feb-2009,0.00122650840751731
11-Feb-2009,0.00118694362017804
12-Feb-2009,0.00114737883283877
13-Feb-2009,0.00114737883283877
14-Feb-2009,0.00114737883283877
15-Feb-2009,0.00114737883283877
16-Feb-2009,0.00114737883283877
17-Feb-2009,0.00126607319485658
18-Feb-2009,0.00122650840751731
19-Feb-2009,0.00118694362017804
20-Feb-2009,0.00106824925816024
21-Feb-2009,0.00106824925816024
22-Feb-2009,0.00106824925816024
23-Feb-2009,0.00118694362017804
24-Feb-2009,0.00126607319485658
25-Feb-2009,0.00118694362017804
26-Feb-2009,0.00106824925816024
27-Feb-2009,0.00102868447082097
28-Feb-2009,0.00102868447082097
01-Mar-2009,0.00102868447082097
02-Mar-2009,0.00110781404549951
03-Mar-2009,0.00106824925816024
04-Mar-2009,0.00102868447082097
05-Mar-2009,0.000791295746785361
06-Mar-2009,0.000791295746785361
07-Mar-2009,0.000791295746785361
08-Mar-2009,0.000791295746785361
09-Mar-2009,0.000909990108803165
10-Mar-2009,0.000949554896142433
11-Mar-2009,0.000909990108803165
12-Mar-2009,0.000830860534124629
13-Mar-2009,0.000751730959446093
14-Mar-2009,0.000751730959446093
15-Mar-2009,0.000751730959446093
16-Mar-2009,0.000949554896142433
17-Mar-2009,0.000949554896142433
18-Mar-2009,0.000830860534124629
19-Mar-2009,0.000791295746785361
20-Mar-2009,0.000830860534124629
21-Mar-2009,0.000830860534124629
22-Mar-2009,0.000830860534124629
23-Mar-2009,0.000870425321463897
24-Mar-2009,0.000830860534124629
25-Mar-2009,0.000751730959446093
26-Mar-2009,0.000593471810089021
27-Mar-2009,0.000514342235410485
28-Mar-2009,0.000514342235410485
29-Mar-2009,0.000514342235410485
30-Mar-2009,0.000712166172106825
31-Mar-2009,0.000830860534124629
01-Apr-2009,0.000870425321463897
02-Apr-2009,0.000870425321463897
03-Apr-2009,0.000830860534124629
04-Apr-2009,0.000830860534124629
05-Apr-2009,0.000830860534124629
06-Apr-2009,0.000791295746785361
07-Apr-2009,0.000791295746785361
08-Apr-2009,0.000712166172106825
09-Apr-2009,0.000712166172106825
10-Apr-2009,0.000712166172106825
11-Apr-2009,0.000712166172106825
12-Apr-2009,0.000712166172106825
13-Apr-2009,0.000712166172106825
14-Apr-2009,0.000672601384767557
15-Apr-2009,0.000593471810089021
16-Apr-2009,0.000514342235410485
17-Apr-2009,0.000553907022749753
18-Apr-2009,0.000553907022749753
19-Apr-2009,0.000553907022749753
20-Apr-2009,0.000553907022749753
21-Apr-2009,0.000593471810089021
22-Apr-2009,0.000553907022749753
23-Apr-2009,0.000395647873392681
24-Apr-2009,0.000395647873392681
25-Apr-2009,0.000395647873392681
26-Apr-2009,0.000395647873392681
